study_id,harvest_year,obs_unit_id,obs_unit_rep_id,block,row,column,plot_id,sample_replicate_id,obs_unit_type,variety_factor_level,tab_variety_type,sample_date,tab_sb_assessment_date,sample_timing,tab_sb_wash_date,tab_sb_setup_date,ww_pla_cnt,ww_rts_cnt,ww_pla_tkal_cnt,ww_rts_tkal_cnt
2016-R-CS-760,2016,2016-R-CS-760-15,2016-R-CS-760-15-A,3,2,2,15,A,plot,Cadenza,LOW,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,8,44,0,0
2016-R-CS-760,2016,2016-R-CS-760-15,2016-R-CS-760-15-B,3,2,2,15,B,plot,Cadenza,LOW,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,57,9,30
2016-R-CS-760,2016,2016-R-CS-760-15,2016-R-CS-760-15-C,3,2,2,15,C,plot,Cadenza,LOW,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,65,10,33
2016-R-CS-760,2016,2016-R-CS-760-15,2016-R-CS-760-15-D,3,2,2,15,D,plot,Cadenza,LOW,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,54,7,11
2016-R-CS-760,2016,2016-R-CS-760-15,2016-R-CS-760-15-E,3,2,2,15,E,plot,Cadenza,LOW,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,61,4,5
2016-R-CS-760,2016,2016-R-CS-760-18,2016-R-CS-760-18-A,3,2,3,18,A,plot,Duxford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,64,10,26
2016-R-CS-760,2016,2016-R-CS-760-18,2016-R-CS-760-18-B,3,2,3,18,B,plot,Duxford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,56,9,15
2016-R-CS-760,2016,2016-R-CS-760-18,2016-R-CS-760-18-C,3,2,3,18,C,plot,Duxford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,48,9,37
2016-R-CS-760,2016,2016-R-CS-760-18,2016-R-CS-760-18-D,3,2,3,18,D,plot,Duxford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,8,44,8,22
2016-R-CS-760,2016,2016-R-CS-760-18,2016-R-CS-760-18-E,3,2,3,18,E,plot,Duxford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,56,9,34
2016-R-CS-760,2016,2016-R-CS-760-20,2016-R-CS-760-20-A,4,1,1,20,A,plot,Cadenza,LOW,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,52,9,34
2016-R-CS-760,2016,2016-R-CS-760-20,2016-R-CS-760-20-B,4,1,1,20,B,plot,Cadenza,LOW,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,61,10,55
2016-R-CS-760,2016,2016-R-CS-760-20,2016-R-CS-760-20-C,4,1,1,20,C,plot,Cadenza,LOW,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,57,9,36
2016-R-CS-760,2016,2016-R-CS-760-20,2016-R-CS-760-20-D,4,1,1,20,D,plot,Cadenza,LOW,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,56,9,37
2016-R-CS-760,2016,2016-R-CS-760-20,2016-R-CS-760-20-E,4,1,1,20,E,plot,Cadenza,LOW,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,62,10,54
2016-R-CS-760,2016,2016-R-CS-760-21,2016-R-CS-760-21-A,4,1,2,21,A,plot,Duxford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,59,9,40
2016-R-CS-760,2016,2016-R-CS-760-21,2016-R-CS-760-21-B,4,1,2,21,B,plot,Duxford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,64,10,43
2016-R-CS-760,2016,2016-R-CS-760-21,2016-R-CS-760-21-C,4,1,2,21,C,plot,Duxford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,68,10,45
2016-R-CS-760,2016,2016-R-CS-760-21,2016-R-CS-760-21-D,4,1,2,21,D,plot,Duxford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,69,10,56
2016-R-CS-760,2016,2016-R-CS-760-21,2016-R-CS-760-21-E,4,1,2,21,E,plot,Duxford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,65,10,51
2016-R-CS-760,2016,2016-R-CS-760-24,2016-R-CS-760-24-A,4,1,3,24,A,plot,Hereward,HIGH,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,64,10,51
2016-R-CS-760,2016,2016-R-CS-760-24,2016-R-CS-760-24-B,4,1,3,24,B,plot,Hereward,HIGH,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,66,10,40
2016-R-CS-760,2016,2016-R-CS-760-24,2016-R-CS-760-24-C,4,1,3,24,C,plot,Hereward,HIGH,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,58,1,1
2016-R-CS-760,2016,2016-R-CS-760-24,2016-R-CS-760-24-D,4,1,3,24,D,plot,Hereward,HIGH,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,65,10,27
2016-R-CS-760,2016,2016-R-CS-760-24,2016-R-CS-760-24-E,4,1,3,24,E,plot,Hereward,HIGH,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,57,1,1
2016-R-CS-760,2016,2016-R-CS-760-19,2016-R-CS-760-19-A,4,2,1,19,A,plot,Hereford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,,,,
2016-R-CS-760,2016,2016-R-CS-760-19,2016-R-CS-760-19-B,4,2,1,19,B,plot,Hereford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,52,0,0
2016-R-CS-760,2016,2016-R-CS-760-19,2016-R-CS-760-19-C,4,2,1,19,C,plot,Hereford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,56,6,10
2016-R-CS-760,2016,2016-R-CS-760-19,2016-R-CS-760-19-D,4,2,1,19,D,plot,Hereford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,57,10,33
2016-R-CS-760,2016,2016-R-CS-760-19,2016-R-CS-760-19-E,4,2,1,19,E,plot,Hereford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,63,10,44
2016-R-CS-760,2016,2016-R-CS-760-22,2016-R-CS-760-22-A,4,2,2,22,A,plot,Xi19,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,8,47,2,2
2016-R-CS-760,2016,2016-R-CS-760-22,2016-R-CS-760-22-B,4,2,2,22,B,plot,Xi19,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,58,10,24
2016-R-CS-760,2016,2016-R-CS-760-22,2016-R-CS-760-22-C,4,2,2,22,C,plot,Xi19,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,61,10,36
2016-R-CS-760,2016,2016-R-CS-760-22,2016-R-CS-760-22-D,4,2,2,22,D,plot,Xi19,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,46,5,6
2016-R-CS-760,2016,2016-R-CS-760-22,2016-R-CS-760-22-E,4,2,2,22,E,plot,Xi19,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,51,9,24
2016-R-CS-760,2016,2016-R-CS-760-23,2016-R-CS-760-23-A,4,2,3,23,A,plot,Barley - KWS Cassia,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,7,43,7,28
2016-R-CS-760,2016,2016-R-CS-760-23,2016-R-CS-760-23-B,4,2,3,23,B,plot,Barley - KWS Cassia,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,50,9,21
2016-R-CS-760,2016,2016-R-CS-760-23,2016-R-CS-760-23-C,4,2,3,23,C,plot,Barley - KWS Cassia,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,53,5,12
2016-R-CS-760,2016,2016-R-CS-760-23,2016-R-CS-760-23-D,4,2,3,23,D,plot,Barley - KWS Cassia,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,60,10,20
2016-R-CS-760,2016,2016-R-CS-760-23,2016-R-CS-760-23-E,4,2,3,23,E,plot,Barley - KWS Cassia,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,62,9,21
